trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.6602082258547671, 'e': 0.005572006814919993}",20,11,16.680270441506423,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.6590209199441206, 'e': 0.005448036556937725}",25,17,12.696159125564531,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.6579673295692758, 'e': 0.005340158205237063}",30,20,17.470760920310717,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.6566527099679451, 'e': 0.005208309229367137}",20,4,26.55323948293868,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.6545547797745905, 'e': 0.0050040885034155205}",25,7,35.06084559284813,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.6522026189971346, 'e': 0}",35,1,45.271410228369604,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.6477826859916348, 'e': 0}",30,15,24.075066910696304,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.6458422500429097, 'e': 0}",20,12,15.302621939333596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.6448097286802025, 'e': 0}",25,10,26.280886259014068,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.642878198238472, 'e': 0}",20,11,18.224097732182646,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.6417220583197274, 'e': 0}",25,6,23.982681558479587,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.6392881418681825, 'e': 0}",25,8,26.103381561580655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.6371182530870844, 'e': 0}",35,18,27.690195401471758,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.6349557294000868, 'e': 0}",20,10,18.86242367778834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.6336870870065611, 'e': 0}",25,15,23.29185950374607,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.6324209793622281, 'e': 0}",30,0,48.69685441123758,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.6286378143306378, 'e': 0}",25,3,34.93727947598581,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.625877884246454, 'e': 0}",20,3,28.00001873995987,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.623753512917752, 'e': 0}",30,7,40.28758709689734,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.6208908359631778, 'e': 0}",30,14,25.58447511948453,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.618907160860995, 'e': 0}",25,8,31.400957796581764,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.6168064497466467, 'e': 0}",30,14,26.82784188775127,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.6148358237905877, 'e': 0}",20,9,16.075876865401167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.6134846717904131, 'e': 0}",20,13,9.46461828251379,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.612626394184416, 'e': 0}",20,13,13.199078144936994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
